{'tip': '小贴士：“雨点横飞”：“雨”字中的点“丶”和横“一”飞走，剩“巾”，“先慢行”：“慢”字的前面行离（先为前），剩“曼”，合为“幔”。', 'mystery': '谜面：雨点横飞先慢行 （打一字）', 'answer': '谜底：幔'}
{'tip': '小贴士：“忆从前”扣“忄”，“陶先”扣“阝”，“生”明扣，“泪水横流”：“泪”字中的水“氵”和横“一”流走，余“日”，合为“阳性”。', 'mystery': '谜面：忆从前，陶先生泪水横流  （防疫热词）', 'answer': '谜底：阳性'}
{'tip': '小贴士：“家晚了”别解为“家”字的底部被了结、终了，剩“宀”（“晚”：指后部、底部），“打”明扣。', 'mystery': '谜面：回家晚了要挨打 （打一字）', 'answer': '谜底：拧'}
{'tip': '小贴士：“下雪之后”扣“雨”，与“路”合成露，纷纷大雪后你还分得清道路吗？', 'mystery': '谜面：下雪之后隐蔽路 （打一字）', 'answer': '谜底：露'}
{'tip': '小贴士：“倾心”扣“匕”，“日月”明扣，合成“脂”。', 'mystery': '谜面：倾心侣伴日月輝 （打一字）', 'answer': '谜底：脂'}
{'tip': '小贴士：“二人”扣“彳”；“一同去”扣“冋”，与“上党”合成“尚”；合成“徜”。上党系山西地名。', 'mystery': '谜面：二人一同去上党 （打一字）', 'answer': '谜底：徜'}
{'tip': '小贴士：“毕业后”扣“土”，“迎难而上”扣“又”，合成“圣”。', 'mystery': '谜面：毕业后迎难而上 （打一字）', 'answer': '谜底：圣'}
{'tip': '', 'mystery': '谜面：老天也发狠 （打一职业）', 'answer': '谜底：天煞'}
{'tip': '', 'mystery': '谜面：脱贫之前先攻坚 （打一字）', 'answer': '谜底：贤'}
{'tip': '', 'mystery': '谜面：八快木头一根筋，张开肩膀上座人，工作学习助休息，老人喜欢不离身。 （打一物）', 'answer': '谜底：马扎'}
{'tip': '', 'mystery': '谜面：园内窗头小月低 （节日一）', 'answer': '谜底：元宵'}
{'tip': '', 'mystery': '谜面：明月孤星映小桥 （打一字）', 'answer': '谜底：宵'}
{'tip': '小贴士：“约了先生"取"生"之首笔"丿"，“天“别解为"日“。今为助词，去别解为"到"为抱合词。', 'mystery': '谜面：约了先生今天去 （打一字）', 'answer': '谜底：白'}
{'tip': '', 'mystery': '谜面：餐厅24小时营业 （打一字宙现象）', 'answer': '谜底：日全食'}
{'tip': '小贴士：“卖”扣“出”，“牛”扣“丑”。', 'mystery': '谜面：出丑了 （打一字）', 'answer': '谜底：犊'}
{'tip': '', 'mystery': '谜面：东西风向全变 （打一字）', 'answer': '谜底：冈'}
{'tip': '小贴士：“丑”扣“牛”。', 'mystery': '谜面：丑到一垫底 （打一字）', 'answer': '谜底：生'}
{'tip': '', 'mystery': '谜面：举头望明月，低头思故乡。 （打一成语）', 'answer': '谜底：触景生情'}
{'tip': '小贴士：“南”为“阳”，“恋”扣“钟”，“谷”为“山”。', 'mystery': '谜面：阳谷恋 （打一人名）', 'answer': '谜底：钟南山'}
{'tip': '', 'mystery': '谜面：最短的季节 （打一成语）', 'answer': '谜底：一日三秋'}
{'tip': '小贴士：“丑”扣“牛”，“出”扣“生”。', 'mystery': '谜面：出丑 （打一字）', 'answer': '谜底：牲'}
{'tip': '小贴士：好运扣“吉”，排成行扣“列”。', 'mystery': '谜面：好运连连排成行 （打一著名男士品牌）', 'answer': '谜底：吉列'}
{'tip': '小贴士：“朋友”，去掉一个“月”和“又”，合为“有”。', 'mystery': '谜面：朋友走又一个月 （打一字）', 'answer': '谜底：有'}
{'tip': '', 'mystery': '谜面：寒冬到后月月亏 （打一字）', 'answer': '谜底：弱'}
{'tip': '', 'mystery': '谜面：二丫头去汕头 （6笔字一）', 'answer': '谜底：汗'}
{'tip': '小贴士：“天天”取“天”的第一笔“一”，“向上”取“丿”。', 'mystery': '谜面：天天向上需努力 （字一）', 'answer': '谜底：历'}
{'tip': '', 'mystery': '谜面：去山脚干活 （字一）', 'answer': '谜底：圳'}
{'tip': '', 'mystery': '谜面：雨打木桥小心行 （字一）', 'answer': '谜底：深'}
{'tip': '', 'mystery': '谜面：群山怀抱雨蒙蒙 （字一）', 'answer': '谜底：雷'}
{'tip': '小贴士：“龙头”取“一”，“业”原企。', 'mystery': '谜面：龙头企业带好头 （字一）', 'answer': '谜底：娅'}
{'tip': '小贴士：“发”别解为“毛发”。', 'mystery': '谜面：两人四点出发 （字一）', 'answer': '谜底：毯'}
{'tip': '小贴士：谜底中的“的”别指“的士”。', 'mystery': '谜面：往返都是坐出租车 （打六字歌词）', 'answer': '谜底：来的来去的去'}
{'tip': '小贴士：“矿”字开成“石广”，“广”字与“土”字合成“庄”字，“户”扣“家”。', 'mystery': '谜面：开矿土之户 （打一地名）', 'answer': '谜底：石家庄'}
{'tip': '', 'mystery': '谜面：心要细致勿大意 （打一字）', 'answer': '谜底：缌'}
{'tip': '小贴士：“重阳”扣“田”，“邀人去川中”扣“介”，合成“界”。', 'mystery': '谜面：重阳邀人去川中 （打一字）', 'answer': '谜底：界'}
{'tip': '', 'mystery': '谜面：解除触角不用刀 （打一字）', 'answer': '谜底：牛'}
{'tip': '小贴士：“谁先”扣“讠”，“倾心”扣“七”，“雄心”扣“亻”，合成“讹”。', 'mystery': '谜面：谁先倾心表雄心 （打一字）', 'answer': '谜底：讹'}
{'tip': '小贴士：谜底别解为“最高中榜的考生”。', 'mystery': '谜面：状元 （3字称谓一）', 'answer': '谜底：高中生'}
{'tip': '', 'mystery': '谜面：到了前边就勿来 （打一字）', 'answer': '谜底：刎'}
{'tip': '小贴士：“顶层”扣“上”，“厂”明扣，“旁边”扣“侧”，“旁边无人”即“侧”字无“亻”，扣“则”，与“厂”字合成“厕”。', 'mystery': '谜面：顶层厂内旁边无人 （打2字人的行为）', 'answer': '谜底：上厕'}
{'tip': '小贴士：“梦想”两个字里相同的部分是“木”，“携手行”：“携”字中的手“扌”行离，剩“隽”，合为“槜”。', 'mystery': '谜面：梦想相同携手行 （打一字）', 'answer': '谜底：槜'}
{'tip': '', 'mystery': '谜面：意见相同，才可碰头 （品牌连产品2＋3）', 'answer': '谜底：统一方便面'}
{'tip': '小贴士：“新春伊始”扣“广”，“天下”扣“大”，合成“庆”。', 'mystery': '谜面：新春伊始，天下团聚 （打一字）', 'answer': '谜底：庆'}
{'tip': '小贴士：“双木”即“对木”，合成“树”字，“不成林”即不要猜“林”字。', 'mystery': '谜面：双木不成林 （打一字）', 'answer': '谜底：树'}
{'tip': '小贴士：“权”明扣，“十分”扣“寸”，合成“树”字。', 'mystery': '谜面：得权十分 （打一字）', 'answer': '谜底：树'}
{'tip': '', 'mystery': '谜面：常见口述文章 ，没有经典著作 （燕尾格，打一成语）', 'answer': '谜底：平白无故'}
{'tip': '小贴士：“盲目出走”扣“亡”，“前忧”扣“忄”，合成“忙”。', 'mystery': '谜面：盲目出走怀前忧 （打一字）', 'answer': '谜底：忙'}
{'tip': '小贴士：“天下”取“人”，“三”原企，“分明月”剩下“日”，“夜”扣“晚”。', 'mystery': '谜面：天下三分明月夜 （电视节目一）', 'answer': '谜底：春晚'}
{'tip': '', 'mystery': '谜面：放手加油干 （字一）', 'answer': '谜底：抽'}
{'tip': '小贴士：“春天”取“春”之首笔“一”，与“了”组成“子”，“梅先开”取“木”。', 'mystery': '谜面：春天来了梅先开 （字一）', 'answer': '谜底：李'}
{'tip': '小贴士：“奉献一生”别解为：“生”字奉献出“一”，得“牛”，“勤耕耘”提义，牛之特点。（谜面以赞颂教师的一生）', 'mystery': '谜面：奉献一生勤耕耘 （打一字）', 'answer': '谜底：牛'}
{'tip': '小贴士：“解”字放走东北位的“刀”，再征调、征走西部的“角”，剩“牛”。', 'mystery': '谜面：解放东北再征西 （打一字）', 'answer': '谜底：牛'}
{'tip': '小贴士：“上楼格”谜底应读成“精白骨”，三样臊子是精肉、白肉、骨。', 'mystery': '谜面：鲁达要郑屠做三样臊子 （上楼格，打《西游记》人物）', 'answer': '谜底：白骨精'}
{'tip': '小贴士：“马”借代千里，合成“重”，“成功”指郑成功，扣“郑”。', 'mystery': '谜面：马到成功  （打2字词）', 'answer': '谜底：郑重'}
{'tip': '小贴士：“束”字也是“十八口”。', 'mystery': '谜面：杏呆困一走，还留十八口 （打一字）', 'answer': '谜底：束'}
{'tip': '小贴士：“三人奉献”别解为“奉”字献出“三人”，剩余底部两横一竖，“争先”=丿，合为“牛”。', 'mystery': '谜面：三人奉献齐争先 （打一字）', 'answer': '谜底：牛'}
{'tip': '小贴士：“杨柳半凋”扣“林”，“离婚后”扣“女”，合成“婪”。', 'mystery': '谜面：杨柳半凋离婚后 （打一字）', 'answer': '谜底：婪'}
{'tip': '', 'mystery': '谜面：翻开日历见玉兔 （打一字）', 'answer': '谜底：腊'}
{'tip': '小贴士：“曲径”=“ㄋ”，“柳丝”=“丿”，“斜”=“一捺”，合为“及”。', 'mystery': '谜面：曲径柳丝斜 （打一字）', 'answer': '谜底：及'}
{'tip': '小贴士：“吃尽苦头”扣“古”，“后会有期”扣“月”，合成“胡”之姓氏。', 'mystery': '谜面：吃尽苦头，后会有期 （打一姓氏）', 'answer': '谜底：胡'}
{'tip': '小贴士：俗话说不管三七二十一。', 'mystery': '谜面：不管什么二十一 （打一中药）', 'answer': '谜底：三七'}
{'tip': '', 'mystery': '谜面：老王一去便猜谜 （打一中药）', 'answer': '谜底：射干'}
{'tip': '小贴士：“人”“大”为“矢”，“呼”字散开为“口”“乎”，组合可为“知乎”。', 'mystery': '谜面：有人大呼：散开 （打一网站名）', 'answer': '谜底：知乎'}
{'tip': '小贴士：红头“纟”，官帽“宀”，丘折分为“一斤”为十两，八明扣。', 'mystery': '谜面：红头官帽十两八 （打一字）', 'answer': '谜底：缤'}
{'tip': '', 'mystery': '谜面：临危不乱 （字一）', 'answer': '谜底：桅'}
{'tip': '', 'mystery': '谜面：令人生畏 （字一）', 'answer': '谜底：偎'}
{'tip': '', 'mystery': '谜面：另作调动可增多 （打一字）', 'answer': '谜底：加'}
{'tip': '小贴士：“白头”扣“丿”，“夫”明扣，“年古稀”扣“车”，合成“轶”。', 'mystery': '谜面：白头夫人年古稀 （打一字）', 'answer': '谜底：轶'}
